verb;usage;transFr;transEn;yellow
заведовать;;administrer;be in charge;movement
завершать\slash завершить;;achever;finish;not movement
завершаться\slash завершиться;;s'achever;be completed;not movement
заверять\slash заверить;;assurer, certifier;assure, certify;not movement
зависать\slash зависнуть;с кем;traîner (avec);hover, hang out;movement
заводить\slash завести;;conduire, démarrer;lead, start/bring up;not movement
завоевывать\slash завоевать;;conquérir;conquer;not movement
заглядывать\slash заглянуть;;regarder;glance (at);movement
загораживать\slash загородить;;enclore;enclose;not movement
загружать\slash загрузить;;charger;load;not movement
загрязнять\slash загрязнить;;salir;soil;not movement
задерживать\slash задержать;;retenir;detain;not movement
задерживаться\slash задержаться;;être retenu;stay too long;not movement
задумывать\slash задумать;;se proposer de;conceive;not movement
задумываться\slash задуматься;;rester pensif rêveur;think (about, of);not movement
задыхаться\slash задохнуться;;étouffer;gasp (for breath);movement aspect unset
заезжать\slash заехать;;passer chez;call in on the way (at);movement
зажимать\slash зажать;;serrer;press;not movement
закладывать\slash заложить;;mettre;put;not movement
заключать\slash заключить;;emprisonner;conclude;not movement
заключаться;;consister en;conclude (with, in);not movement
закреплять\slash закрепить;;fixer;fasten;not movement
залезать\slash залезть;;entrer;climb;movement
заливать\slash залить;;inonder;flood;not movement
залогиниться;;;;movement aspect unset
занимать\slash занять;;emprunter;borrow;not movement
запаздывать\slash запоздать;;être en retard;be late (for);movement
запоминаться\slash запомниться;;rester dans la mémoire de;remember;not movement
запускать\slash запустить;;jeter;fling;not movement
заражать\slash заразить;;communiquer à;infect;not movement
заслуживать\slash заслужить;;mériter;merit;not movement
заставать\slash застать;;trouver;find;not movement
заставлять\slash заставить;;encombrer;compel;not movement
застревать\slash застрять;;rester;stick;movement
застреливать\slash застрелить;;tuer;shoot;not movement
застывать\slash застынуть;;застыть;cool down;movement
зафиксировать;;fixer;fix;not movement
захватывать\slash захватать;;prendre;grasp;not movement
зачислять\slash зачислить;;nommer;enroll;not movement
защищать\slash защитить;;défendre;defend (from, against);not movement
заявлять\slash заявить;;déclarer;declare;not movement
злить\slash обо-;;fâcher;vex;not movement
злоупотреблять\slash злоупотребить;;abuser de;abuse;movement
знакомить\slash по-;;présenter à;introduce (to);not movement
игнорировать;;ignorer;ignore;not movement
избавляться\slash избавиться;;se délivrer;get rid (of);not movement
избегать\slash избежать;;éviter;avoid;not movement
избивать\slash избить;;battre;beat unmercifully;not movement
извещать\slash известить;;informer;inform;not movement
извлекать\slash извлечь;;tirer;extract (from);not movement
изготавливать\slash изготовить;;fabriquer;make;not movement
издавать\slash издать;;éditer;publish;not movement
излагать\slash изложить;;exposer;state;not movement
изменять\slash изменить;;changer;change;movement
изнашиваться\slash износиться;;être usé;wear out;not movement
изображать\slash изобразить;;représenter;depict;not movement
изобретать\slash изобрести;;inventer;invent;not movement
изолировать;;isoler;isolate;not movement
иллюстрировать\slash про-;;illustrer;illustrate;not movement
импортировать;;importer;import;not movement
интерпретировать;;interpréter;interpret;not movement
информировать\slash про-;;informer;inform;not movement
исполнять\slash исполнить;;faire;carry out;not movement
исполняться\slash исполниться;;s'accomplir;be fulfilled;not movement
использоваться;;servir;be used;not movement
исследовать;;examiner;investigate;not movement
истекать\slash истечь;;s'écouler;elapse;movement
исходить\slash изойти;;parcourir;go / walk / stroll all over;movement
исчезать\slash исчезнуть;;disparaître;disappear;movement
исчерпывать\slash исчерпать;;épuiser;exhaust;not movement
казаться\slash по-;;paraître;seem;not movement
казнить;;exécuter;execute;not movement
касаться\slash коснуться;;toucher;touch (with);movement aspect unset
катать\slash кататься;;rouler;drive;not movement
катить\slash по-;;rouler;bowl along;not movement
катиться\slash по-;;rouler;rush;not movement
качать\slash качнуть;;balancer;rock;not movement
кидаться\slash кинуться;;se jeter;throw / fling oneself;not movement
классифицировать;;classifier;classify;not movement
колебаться\slash по-;;être ébranlé;oscillate;not movement
командовать;;commander;command;not movement
комментировать\slash про-;;commenter;comment (on, upon);not movement
компенсировать;;compenser;compensate;not movement
конвертировать;;convertir;convert;not movement
конкурировать;;rivaliser (avec, pour);compete (with smb. in smth.);movement
координировать;;coordonner;co(-)ordinate (with);not movement
копировать\slash с-;;copier;copy;not movement
копить\slash на-;;amasser;save up;not movement
коррелировать;;corréler;correlate;movement
красить\slash вы-;;peindre;colo(u)r;not movement
краситься\slash вы-;;se farder;put on make up;not movement
краснеть\slash по-;;rougir;edden;not movement
красть\slash у-;;voler;steal;not movement
критиковать;;critiquer;criticize;not movement
крутить\slash по-;;tortiller;twist;not movement
крутиться\slash по-;;tourner;turn;not movement
кусать\slash по-;;mordre;bite;not movement
кушать\slash по-;;manger;eat;not movement
лгать\slash со-;;mentir;lie;movement
лезть\slash по-;;grimper;climb (up, on to);movement
лечиться\slash по-;;suivre un traitement;receive / undergo (medical) treatment (for);not movement
ликвидировать;;liquider;liquidate;not movement
листать;;feuilleter;turn over the pages (of);not movement
литься\slash лить;;couler;flow;not movement
ловить\slash поймать;;saisir;(try to) catch;not movement
локализовать;;localiser;localize;not movement
мазать\slash из-;;graisser;намазать;not movement
манипулировать;;manipuler;manipulate;not movement
меняться\slash по-;;changer;change;not movement
мигать\slash мигнуть;;cligner;blink;movement
мириться\slash по-;;se réconcilier;make it up (with smb.);not movement
модернизировать;;moderniser;modernize;not movement
молиться\slash по-;;prier;pray (to smb., for smth.);not movement
молоть\slash с-;;moudre;grind;not movement
монтировать\slash с-;;monter;assemble;not movement
моросить;;bruiner;drizzle;movement
мочиться\slash по-;;uriner;urinate;not movement
мстить\slash ото-;;venger;take revenge (on smb. for smth.);movement
мучить\slash за-;;tourmenter;torment;not movement
мучиться\slash по-;;se tourmenter au sujet de;agonize;not movement
