verb;transFR
комментировать\slash про-;commenter
компенсировать;compenser
конвертировать;convertir
конкурировать;rivaliser (avec, p
координировать;coordonner
копировать\slash с-;copier
копить\slash на-;amasser
коррелировать;corréler
красить\slash вы-;peindre
краситься\slash вы-;se farder
краснеть\slash по-;rougir
красть\slash у-;voler
критиковать;critiquer
крутить\slash по-;tortiller
крутиться\slash по-;tourner
кусать\slash по-;mordre
кушать\slash по-;manger
лгать\slash со-;mentir
лезть\slash по-;grimper
лечиться\slash по-;suivre un traitem
ликвидировать;liquider
листать;feuilleter
литься\slash лить;couler
ловить\slash поймать;saisir
локализовать;localiser
мазать\slash из-;graisser
манипулировать;manipuler
меняться\slash по-;changer
мигать\slash мигнуть;cligner
мириться\slash по-;se réconcilier
модернизировать;moderniser
молиться\slash по-;prier
молоть\slash с-;moudre
монтировать\slash с-;monter
моросить;bruiner
мочиться\slash по-;uriner
мстить\slash ото-;venger
мучить\slash за-;tourmenter
мучиться\slash по-;se tourmenter au 
мыслить;raisonner
набирать\slash набрать;ramasser
наблюдать;observer
наблюдаться\slash наблюдать;se voir
навещать\slash навестить;visiter
нагружать\slash нагрузить;charger
наедаться\slash наесться;se lester
наказывать\slash наказать;punir
накладывать\slash наложить;mettre sur
накрывать\slash накрыть;couvrir de
намереваться\slash намериться;avoir l'intention
намечать\slash наметить;marquer
нанимать\slash нанять;louer
наносить\slash нанести;apporter une quan
нападать\slash напасть;напасть I
напиваться\slash напиться;étancher sa soif
наполнять\slash наполнить;remplir
направлять\slash направить;diriger
направляться\slash направиться;se diriger
напрягаться\slash напрячься;faire des efforts
нарастать\slash нарасти;croître
нарезать\slash -;couper
наряжать\slash нарядить;habiller
насиловать\slash из-;violer
наслаждаться\slash насладиться;jouir de
наследовать;hériter de
настаивать\slash настоять;insister sur
настраивать\slash настроить;accorder
натягивать\slash натянуть;tendre
находиться\slash найтись;se retrouver
недооценивать\slash недооценить;Sous-estimer
нервировать;énerver
нервничать;être nerveux
нуждаться;avoir besoin (de, 
нырять\slash нырнуть;plonger
обвинять\slash обвинить;accuser (de)
обдумывать\slash обдумать;bien méditer
обеспечивать\slash обеспечить;pourvoir
обижать\slash обидеть;vexer
обладать;posséder
обмениваться\slash обменяться;échanger
обнимать\slash обнять;serrer dans ses b
обновлять\slash обновить;renouveler
обожать;adorer
обозначать\slash обозначить;marquer
оборачиваться\slash обернуться;se retourner
обосновывать\slash обосновать;argumenter
обосраться;
образовывать\slash образовать;organiser
образовываться\slash образоваться;se former
обслуживать\slash обслужить;desservir
обучать\slash обучить;apprendre à
обходиться\slash обойтись;traiter
объединять\slash объединить;unifier
объединяться\slash объединиться;s'unir
объясняться\slash объясниться;s'expliquer
ограничивать\slash ограничить;restreindre
одобрять\slash одобрить;approuver
ознакомляться\slash ознакомиться;se mettre au cour
оказывать\slash оказать;montrer
оказываться\slash оказаться;se trouver
оканчивать\slash окончить;finir
оккупировать;occuper
окружать\slash окружить;entourer
опережать\slash опередить;devancer
оперировать;opérer
оповещать\slash оповестить;informer
опознавать\slash опознать;identifier
оправдывать\slash оправдать;justifier
опрашивать\slash опросить;interroger
определять\slash определить;définir
опрокидывать\slash опрокинуть;renverser
опубликовывать\slash опубликовать;publier
опускать\slash опустить;baisser
опускаться\slash опуститься;tomber
орать;crier
организовывать\slash организовать;organiser
осваивать\slash освоить;assimiler
освещать\slash осветить;éclairer
освобождать\slash освободить;libérer
освобождаться\slash освободиться;se libérer
оскорблять\slash оскорбить;offenser
ослаблять\slash ослабить;affaiblir
осматривать\slash осмотреть;visiter
основывать\slash основать;fonder
осуждать\slash осудить;désapprouver
осуществлять\slash осуществить;réaliser
осуществляться\slash осуществиться;se réaliser
отбирать\slash отобрать;enlever
отвлекать\slash отвлечь;détourner
отделять\slash отделить;séparer
отделяться\slash отделиться;se séparer
отзываться\slash отозваться;répondre à
откладывать\slash отложить;mettre de côté
относиться\slash отнестись;traiter
отправляться\slash отправиться;aller (à)
отпускать\slash отпустить;permettre à de s'
отражать\slash отразить;réfléchir
отражаться\slash отразиться;se refléter
отрезать\slash -;couper
отрицать;nier
отслеживать\slash отследить;suivre
охватывать\slash охватить;embrasser
охотиться;chasser
охрипнуть;être enroué
оценивать\slash оценить;évaluer
оцениваться\slash оцениться;évaluer
ощущать\slash ощутить;éprouver
парализовать;paralyser
перебивать\slash перебить;tuer
перевозить\slash перевезти;transporter
переворачивать\slash перевернуть;tourner
передвигаться\slash передвинуться;se déplacer
переделывать\slash переделать;refaire
передумывать\slash передумать;changer d'avis
переживать\slash пережить;éprouver
перемещать\slash переместить;déplacer
пересекать\slash пересечь;passer à travers
перечислять\slash перечислить;énumérer
печатать\slash на-;imprimer
писаться\slash на-;s'érire
планироваться\slash спланировать;arrêter
повторяться\slash повториться;se répéter
погибать\slash погибнуть;périr
поглощать\slash поглотить;engloutir
погружать\slash погрузить;charger
подбирать\slash подобрать;relever
подбодрить\slash подбадривать;encourager
подвергать\slash подвергнуть;faire subir à
подвергаться\slash подвергнуться;subir
подводить\slash подвести;amener
подворачивать\slash подвернуть;visser
поддерживать\slash поддержать;retenir
подключать\slash подключить;brancher
подлежать;être sujet à
подметать\slash подмести;balayer
подозревать\slash заподозрить;soupçonner (de)
подписываться\slash подписаться;signer
подражать;imiter
подтверждать\slash подтвердить;affirmer
позволять\slash позволить;permettre
показываться\slash показаться;se montrer
покидать\slash покинуть;abandonner
покончить;achever
ползти\slash по-;ramper
поливать\slash полить;arroser
пользоваться\slash вос-;profiter de
помечать\slash пометить;marquer
помещать\slash поместить;mettre
понадобиться;avoir besoin de
попадать\slash попасть;se trouver
пороть\slash рас-;fesser
поручать\slash поручить;charger
посещать\slash посетить;visiter
поставлять\slash поставить;поставить II
потреблять\slash потребить;consommer
появляться\slash появиться;sembler
пояснять\slash пояснить;expliquer
превосходить\slash превзойти;surpasser
превращать\slash превратить;transformer
превращаться\slash превратиться;se transformer
превышать\slash превысить;surpasser en
предавать\slash предать;livrer à
предвидеть;prévoir
предлагать\slash предлагаться;offrir
предотвращать\slash предотвратить;prévenir
предохранять\slash предохраняться;protéger (contre, 
предполагать\slash предположить;supposer
предполагаться\slash предположить;
предпочитать\slash предпочесть;préférer
предпринимать\slash предпринять;entreprendre
предстоять;
предусматривать\slash предусмотреть;prévoir
предчувствовать;pressentir
преобразовывать\slash преобразовать;réformer
преодолевать\slash преодолеть;surmonter
преследовать;poursuivre
претендовать;prétendre à
преувеличивать\slash преувеличить;exagérer
преуспевать\slash преуспеть;réussir dans
прибавлять\slash прибавить;ajouter
привлекать\slash привлечь;attirer
привязывать\slash привязать;attacher
приговаривать\slash приговорить;condamner (à)
придерживаться\slash придержаться;se tenir à
прижимать\slash прижать;serrer contre
прижиматься\slash прижаться;se serrer
признавать\slash признать;reconnaître
признаваться\slash признаться;avouer
приказывать\slash приказать;ordonner
прилагать\slash приложить;joindre
принуждать\slash принудить;contraindre
приобретать\slash приобрести;acquérir
приоткрывать\slash приоткрыть;entrouvrir
приподнимать\slash приподнять;soulever
присваивать\slash присвоить;s'approprier
прислушиваться\slash прислушаться;écouter
присоединяться\slash присоединиться;se joindre à
приспосабливать\slash приспособить;adapter
приступать\slash приступить;se mettre à
притворяться\slash притвориться;fermer (à demi)
приходиться\slash прийтись;convenir
причинять\slash причинить;causer
пробегать\slash пробежать;parcourir
проводиться\slash провестись;conduire
провоцировать\slash с-;provoquer
прогнозировать;faire des pronost
проговаривать\slash проговорить;prononcer
прогонять\slash прогнать;pousser
продаваться\slash продаться;se vendre
продвигаться\slash продвинуться;progresser
проделывать\slash проделать;pratiquer
продемонстрировать\slash продемнстрировать;mettre en évidenc
