verb;transFR
ловить\slash поймать;attraper
ложиться\slash лечь;se coucher
ломать\slash по-;casser
ломать\slash с-;casser
любить;aimer
любить\slash по-;aimer
любоваться\slash за-;admirer
махать\slash махнуть;agiter
менять\slash об-;changer
менять\slash по-;менять
мерзнуть\slash за-;geler
мерить\slash с-;mesurer
мечтать;rêver à
мешать\slash по-;empêcher
молчать;se taire
мочить;mouiller
мочь\slash с-;être capable
мыть\slash по-;laver
награждать\slash наградить;récompencer
надевать\slash надеть;mettre
надеяться\slash по-;espérer
надоедать\slash надоесть;importuner
нажимать\slash нажать;appuyer sur
назначать\slash назначить;fixer
называть\slash назвать;nommer
называться\slash назваться;s'appeler
наклоняться\slash наклониться;se pencher
наливать\slash налить;verser
напоминать\slash напомнить;rappeler
напугать;effrayer
нарушать\slash нарушить;troubler
наставать\slash настать;arriver
наступать\slash наступить;marcher sur
научить\slash научиться;apprendre
находить\slash найти;trouver
находиться\slash найтись;se trouver
начинать\slash начать;commencer
начинаться\slash начаться;commencer
ненавидеть\slash воз-;haïr
носить\slash понести;porter
ночевать\slash за-;coucher
нравиться\slash по-;plaire
нюхать\slash по-;sentir
обедать\slash по-;déjeuner
обещать\slash по-;promettre
обижаться\slash обидеться;se vexer
обманывать\slash обмануть;tromper
обменивать\slash обменять;(échanger troquer
обращаться\slash обратиться;se tourner
обсуждать\slash обсудить;examiner
обсуждаться\slash обсудить;examiner
обучаться\slash обучиться;étudier
обходить\slash обойти;faire le tour de
общаться;être en rapports
объявлять\slash объявить;annoncer
объяснять\slash объяснить;expliquer
одалживать\slash одолжить;prêter
одевать\slash одеть;habiller
одеваться\slash одеться;s'habiller
ожидать;attendre
означать;signifier
опаздывать\slash опоздать;être en retard
описывать\slash описать;décrire
оплачивать\slash оплатить;payer
оставаться\slash остаться;rester
оставлять\slash оставить;laisser
останавливать\slash остановить;arrêter
останавливаться\slash остановиться;s'arrêter
остужать\slash остудить;refroidir
отвертываться\slash отвернуться;se détourner
отвечать\slash ответить;répondre
