verb;usage;transFr;transEn;yellow
заканчивать\slash закончить;;achever;finish;0
заканчиваться\slash закончиться;;prendre fin;end;0
закрывать\slash закрыть;;fermer;shut;0
закрываться\slash закрыться;;se fermer;close;0
закуривать\slash закурить;;allumer une cigarette;light (up);0
заменять\slash заменить;;remplacer;replace (by);0
замерзать\slash замерзнуть;;se geler;freeze;1
замечать\slash заметить;;remarquer;notice;0
замолчать;;se taire;keep quiet;1
заниматься\slash заняться;;s'occuper de;occupy / busy oneself;0
запирать\slash запереть;;fermer;lock;0
записывать\slash записать;;noter;write down;0
записываться\slash записаться;;s'inscrire;enroll (in);0
заплатить;;payer;pay (for);0
заполнять\slash заполнить;;remplir;fill (up);0
запоминать\slash запомнить;;retenir;remember;0
запрещать\slash запретить;;défendre;forbid;0
запрещаться\slash запретить;;être défendu;be forbidden / prohibited;0
зарабатывать\slash заработать;;gagner;earn;0
зарегистрировать\slash зарегистрироваться;;se faire inscrire;be registered;0
застраховывать\slash застраховать;;assurer contre;insure (against);0
засыпать\slash заснуть;;s'endormir;fall asleep;0
заходить\slash зайти;;se mettre à marcher;go / come (to);1
звать\slash по-;;appeler;call;0
звонить\slash по-;;sonner;ring;0
звучать\slash про-;;émettre un son;sound;1
здороваться\slash по-;;saluer;greet;0
здравствовать;;se porter bien;be in good health;1
знакомиться\slash по-;;faire la connaissance de;meet;0
знать;;connaître;know;0
значить;;signifier;mean;1
зубрить\slash за-;;apprendre par cœur;cram;0
играть\slash сыграть;;jouer;play;0
идти\slash пойти;;aller;begin;1
избирать\slash избрать;;élire;choose (as, for);0
извинять\slash извинить;;excuser;excuse;0
извиняться\slash извиниться;;s'excuser;make excuses;0
изменяться\slash измениться;;changer;change;0
измерять\slash измерить;;mesurer;measure;0
изучать\slash изучить;;étudier;study;0
иметь;;avoir;have;0
иметься\slash иметь;;avoir;be at / in / on hand;0
интересовать\slash за-;;éveiller l'intérêt de;interest in;0
интересоваться\slash за-;;s'intéresser à;be(come) interested (in);0
искать\slash по-;;chercher;look for;0
исключать\slash исключить;;exclure;exclude;0
использовать;;employer;use;0
исправлять\slash исправить;;corriger;correct;0
испугаться\slash пугаться;;s'effrayer;be frightened (of);0
испытывать\slash испытать;;essayer;try;0
кататься\slash катать;;se rouler;go for a drive;0
кашлять\slash про-;;tousser;cough;1
кивать\slash кивнуть;;saluer;nod;1
кидать\slash кинуть;;jeter;throw;0
кипеть;;bouillir;boil;1
кипятить\slash вс-;;faire bouillir;boil;0
класть\slash положить;;mettre;put;0
клеить\slash с-;;coller;glue;0
коллекционировать;;collectionner;collect;0
консультировать\slash про-;;consulter;advise (on, about);0
консультироваться\slash про-;;consulter;consult (with);0
контролировать\slash про-;;contrôler;control;0
кончать\slash кончить;;finir;finish;0
кончаться\slash кончиться;;tirer;end;0
кормить\slash на-;;nourrir;feed;0
кричать\slash крикнуть;;crier;cry;1
купаться\slash вы-;;se baigner;take a bath;0
курить\slash по-;;fumer;smoke;0
лаять;;aboyer;bark;0
лежать;;être couché;lie;0
летать;;voler;fly;1
лететь\slash по-;;voler;fly;1
лечить\slash по-;;soigner;treat (medically);0
лить;;verser;pour;0
ловить\slash поймать;;attraper, capturer;(try to) catch;0
ложиться\slash лечь;;se coucher;lie (down);0
ломать\slash по-;;casser;break;0
ломать\slash с-;;casser;break;0
любить;;aimer;love;0
любить\slash по-;;aimer;come to love;0
любоваться\slash за-;;admirer;admire;0
махать\slash махнуть;;agiter;wave;0
менять\slash об-;;changer;change;0
менять\slash по-;;менять;exchange;0
мерзнуть\slash за-;;geler;freeze;1
мерить\slash с-;;mesurer;measure;0
мечтать;;rêver à;dream (of);0
мешать\slash по-;;empêcher;stir;0
молчать;;se taire;be / keep silent;1
мочить;;mouiller;to wet;0
мочь\slash с-;;être capable;be able;1
мыть\slash по-;;laver;wash;0
награждать\slash наградить;;récompencer;reward (with);0
надевать\slash надеть;;mettre;put on;0
надеяться\slash по-;;espérer;hope;0
надоедать\slash надоесть;;importuner;bother;1
нажимать\slash нажать;;appuyer sur;press;0
назначать\slash назначить;;fixer;appoint;0
называть\slash назвать;;nommer;name;0
называться\slash назваться;;s'appeler;call oneself;0
наклоняться\slash наклониться;;se pencher;stoop;0
наливать\slash налить;;verser;pour (out);0
напоминать\slash напомнить;;rappeler;remind (of);0
напугать;;effrayer;frighten;0
нарушать\slash нарушить;;troubler;disturb;0
наставать\slash настать;;arriver;come;1
наступать\slash наступить;;marcher sur;tread / step (on);1
научить\slash научиться;;apprendre;learn;0
находить\slash найти;;trouver;find;0
находиться\slash найтись;;se trouver;be found;0
начинать\slash начать;;commencer;begin;0
начинаться\slash начаться;;commencer;begin;0
ненавидеть\slash воз-;;haïr;hate;0
носить\slash понести;;porter;carry;0
ночевать\slash за-;;coucher;pass / spend the night;1
нравиться\slash по-;;plaire;please;0
нюхать\slash по-;;sentir;smell;0
обедать\slash по-;;déjeuner;have dinner / lunch;1
обещать\slash по-;;promettre;promise;0
обижаться\slash обидеться;;se vexer;take offence;0
обманывать\slash обмануть;;tromper;deceive;0
обменивать\slash обменять;;(échanger troquer) contre;exchange (for smth., with smb.);0
обращаться\slash обратиться;;se tourner;turn (to, into);0
обсуждать\slash обсудить;;examiner;discuss;0
обсуждаться\slash обсудить;;examiner;be on the floor;0
обучаться\slash обучиться;;étudier;learn;0
обходить\slash обойти;;faire le tour de;go / pass / walk (a)round;0
общаться;;être en rapports;communicate with;0
объявлять\slash объявить;;annoncer;declare;0
объяснять\slash объяснить;;expliquer;explain;0
одалживать\slash одолжить;;prêter;lend;0
одевать\slash одеть;;habiller;dress (in);0
одеваться\slash одеться;;s'habiller;dress (oneself);0
ожидать;;attendre;wait (for);0
означать;;signifier;signify;0
опаздывать\slash опоздать;;être en retard;be late (for);1
описывать\slash описать;;décrire;describe;0
оплачивать\slash оплатить;;payer;pay (for);0
оставаться\slash остаться;;rester;remain;0
оставлять\slash оставить;;laisser;leave;0
останавливать\slash остановить;;arrêter;stop;0
останавливаться\slash остановиться;;s'arrêter;stop;0
остужать\slash остудить;;refroidir;cool;0
отвертываться\slash отвернуться;;se détourner;come unscrewed;0
отвечать\slash ответить;;répondre;answer;0
отводить\slash отвести;;mener;lead;0
отвозить\slash отвезти;;porter;take;0
отгадывать\slash отгадать;;deviner;guess;0
отдавать\slash отдать;;rendre;give back;0
