verb;usage;transFr;transEn;yellow
загружать\slash загрузить;;charger;load;0
загрязнять\slash загрязнить;;salir;soil;0
задерживать\slash задержать;;retenir;detain;0
задерживаться\slash задержаться;;être retenu;stay too long;0
задумывать\slash задумать;;concevoir,projeter;have in mind, plan;0
задумываться\slash задуматься;;penser, envisager;wonder, conceive;0
задыхаться\slash задохнуться;;étouffer;gasp (for breath);0
заезжать\slash заехать;;passer par;stop by;1
зажимать\slash зажать;;serrer;press;0
закладывать\slash заложить;;mettre (dans / de côté), trahir;put (in / away), betray;0
заключать\slash заключить;;conclure, enfermer;conclude, close;0
заключаться\slash заключиться;;consister en;conclude (with, in);0
закреплять\slash закрепить;;consolider, fixer;consolidate, fix ;0
залезать\slash залезть;;monter, rentrer;climb up, get into;1
заливать\slash залить;;inonder;flood;0
залогиниться;;se connecter;log in;0
занимать\slash занять;;emprunter;borrow;0
запаздывать\slash запоздать;;être en retard;be late (for);1
запоминаться\slash запомниться;;rester en mémoire;stick to memory;0
запускать\slash запустить;;jeter;fling;0
заражать\slash заразить;;communiquer à;infect;0
заслуживать\slash заслужить;;mériter;deserve, merit;0
заставать\slash застать;;trouver,surprendre;find, catch, meet;0
заставлять\slash заставить;;obliger, forcer;compel, force;0
застревать\slash застрять;;coincer, bloquer;get stuck;1
застреливать\slash застрелить;;tirer sur, abattre;shoot, gun down;0
застывать\slash застынуть;;solidifier, geler;solidify, freeze ;1
зафиксировать;;fixer;fix;0
захватывать\slash захватить;;attraper, capturer;catch, capture;0
зачислять\slash зачислить;;inscrire, engager;enroll, enlist;0
защищать\slash защитить;;défendre;defend (from, against);0
заявлять\slash заявить;;déclarer;declare;0
злить\slash обо-;;fâcher;vex;0
злоупотреблять\slash злоупотребить;;abuser de;abuse;1
знакомить\slash по-;;présenter à;introduce (to);0
игнорировать;;ignorer;ignore;0
избавляться\slash избавиться;от чего;se débarrasser de;get rid (of);0
избегать\slash избежать;;fuir, éviter;escape, avoid;0
избивать\slash избить;;rouer de coups;beat unmercifully;0
извещать\slash известить;;informer, avertir;inform, notify;0
извлекать\slash извлечь;;extraire de, tirer;extract, retrieve;0
изготавливать\slash изготовить;;manufacturer;manufacture;0
издавать\slash издать;;éditer;publish;0
излагать\slash изложить;;exposer;state;0
изменять\slash изменить;;changer;change;1
изнашиваться\slash износиться;;être usé;wear out;0
изображать\slash изобразить;;dépeindre, décrire;depict, picture;0
изобретать\slash изобрести;;inventer, trouver;invent;0
изолировать;;isoler;isolate;0
иллюстрировать\slash про-;;illustrer;illustrate;0
импортировать;;importer;import;0
интерпретировать;;interpréter;interpret;0
информировать\slash про-;;informer;inform;0
исполнять\slash исполнить;;accomplir;carry out, fulfill;0
исполняться\slash исполниться;;s'accomplir;be fulfilled;0
использоваться;;être utilisé;be used;0
исследовать;;étudier, examiner;research, study;0
истекать\slash истечь;;expirer, s'écouler;expire, shed;1
исходить\slash изойти;;parcourir;go / walk / stroll all over;1
исчезать\slash исчезнуть;;disparaître;disappear;1
исчерпывать\slash исчерпать;;épuiser;exhaust;0
казаться\slash по-;;paraître;seem;0
казнить;;exécuter, accabler;execute, torture;0
касаться\slash коснуться;;toucher, concerner;touch, refer to;0
катать\slash кататься;;rouler, promener;ride, roll;0
катить\slash по-;;faire rouler, pousser;roll, push;0
катиться\slash по-;;rouler;roll, stream;0
качать\slash качнуть;;balancer;rock;0
кидаться\slash кинуться;;se jeter;throw / fling oneself;0
классифицировать;;classifier;classify;0
колебаться\slash по-;;être ébranlé;oscillate;0
командовать;;commander;command;0
комментировать\slash про-;;commenter;comment (on, upon);0
компенсировать;;compenser;compensate;0
конвертировать;;convertir;convert;0
конкурировать;;concourir;compete (with, in);1
координировать;;coordonner;co(-)ordinate (with);0
копировать\slash с-;;copier;copy;0
копить\slash на-;;amasser;save up;0
коррелировать;;corréler;correlate;1
красить\slash вы-;;peindre;colo(u)r;0
краситься\slash вы-;;se maquiller;put on make up;0
краснеть\slash по-;;rougir;edden;0
красть\slash у-;;voler;steal;0
критиковать;;critiquer;criticize;0
крутить\slash по-;;tordre, tortiller;turn, twist;0
крутиться\slash по-;;tourner, pivoter;turn, spin;0
кусать\slash по-;;mordre;bite;0
кушать\slash по-;;manger;eat;0
лгать\slash со-;;mentir;lie;1
лезть\slash по-;;grimper;climb (up, on to);1
лечиться\slash по-;;guérir, se soigner;receive / undergo (medical) treatment (for);0
ликвидировать;;liquider;liquidate;0
листать;;feuilleter;turn over the pages (of);0
литься\slash по-;;couler, fuiter;flow;0
ловить\slash поймать;;attraper, capturer;(try to) catch;0
локализовать;;localiser;localize;0
мазать\slash из-;;graisser;намазать;0
манипулировать;;manipuler;manipulate;0
меняться\slash по-;;changer;change;0
мигать\slash мигнуть;;cligner;blink;1
мириться\slash по-;;se réconcilier;make it up (with smb.);0
модернизировать;;moderniser;modernize;0
молиться\slash по-;;prier;pray (to smb., for smth.);0
молоть\slash с-;;moudre, dire des bêtises;grind, talk nonsense;0
монтировать\slash с-;;monter, assembler;assemble;0
моросить\slash по-;;bruiner;drizzle;1
мочиться\slash по-;;uriner;urinate;0
мстить\slash ото-;;se venger;take revenge (on smb. for smth.);1
мучить\slash за-;;tourmenter;torment;0
мучиться\slash по-;;souffrir;agonize, suffer;0
мыслить;;raisonner;think (of, about);0
набирать\slash набрать;;ramasser;gather;0
наблюдать\slash по-;;observer,surveiller;watch, observe;0
наблюдаться\slash по-;;être observé;be observed;0
навещать\slash навестить;;rendre visite;come to visit;0
нагружать\slash нагрузить;;charger, accabler;load, burden;0
наедаться\slash наесться;;être rassasié;eat one's fill;0
наказывать\slash наказать;;punir;punish;0
накладывать\slash наложить;;mettre sur;lay (on);0
накрывать\slash накрыть;;couvrir de;cover (with);0
намереваться\slash намериться;;avoir l'intention de;intend;0
намечать\slash наметить;;planifier, cibler;design, plan;0
нанимать\slash нанять;;louer;hire;0
наносить\slash нанести;;apporter une quantité de;drift (on);0
нападать\slash напасть;;напасть I;attack;1
напиваться\slash напиться;;étancher sa soif;drink;0
наполнять\slash наполнить;;remplir;fill;0
направлять\slash направить;;diriger;direct (at, to);0
направляться\slash направиться;;se diriger;make;0
напрягаться\slash напрячься;;faire des efforts;strain / exert oneself;0
нарастать\slash нарасти;;croître;grow (on);1
нарезать\slash -;;couper;cut (into pieces);0
наряжать\slash нарядить;;habiller;dress (up, out);0
насиловать\slash из-;;violer;violate;0
наслаждаться\slash насладиться;;jouir de;enjoy;0
наследовать;;hériter de;inherit;0
настаивать\slash настоять;;insister sur;insist;1
настраивать\slash настроить;;accorder;tune (up, in);0
натягивать\slash натянуть;;tendre;stretch;0
находиться\slash найтись;;se retrouver;be found;0
недооценивать\slash недооценить;;Sous-estimer;underestimate;0
нервировать;;énerver;make smb. nervous;0
нервничать;;être nerveux;be / feel nervous;1
нуждаться;;avoir besoin (de, de);be in need / want (of);0
нырять\slash нырнуть;;plonger;dive;1
обвинять\slash обвинить;;accuser (de);accuse (of);0
обдумывать\slash обдумать;;bien méditer;consider;0
обеспечивать\slash обеспечить;;pourvoir;provide (for, with);0
обижать\slash обидеть;;vexer;offend (smb.);0
обладать;;posséder;possess;1
обмениваться\slash обменяться;;échanger;take smth. by mistake;0
обнимать\slash обнять;;serrer dans ses bras;embrace;0
обновлять\slash обновить;;renouveler;renew;0
обожать;;adorer;adore;0
обозначать\slash обозначить;;marquer;denote;0
оборачиваться\slash обернуться;;se retourner;turn (round);0
обосновывать\slash обосновать;;argumenter;(give) prove;0
обосраться;;;;0
образовывать\slash образовать;;organiser;form;0
образовываться\slash образоваться;;se former;form;0
обслуживать\slash обслужить;;desservir;serve;0
обучать\slash обучить;;apprendre à;teach (smb. smth.);0
обходиться\slash обойтись;;traiter;cost;0
объединять\slash объединить;;unifier;unite;0
объединяться\slash объединиться;;s'unir;join hands (with);0
объясняться\slash объясниться;;s'expliquer;explain oneself;0
ограничивать\slash ограничить;;restreindre;confine;0
одобрять\slash одобрить;;approuver;approve (of);0
ознакомляться\slash ознакомиться;;se mettre au courant de;familiarize oneself (with);0
оказывать\slash оказать;;montrer;show;0
оказываться\slash оказаться;;se trouver;turn out (to be);0
оканчивать\slash окончить;;finir;finish;0
оккупировать;;occuper;occupy;0
окружать\slash окружить;;entourer;surround;0
опережать\slash опередить;;devancer;pass ahead (of);0
оперировать;;opérer;operate (on);0
оповещать\slash оповестить;;informer;notify;0
опознавать\slash опознать;;identifier;identify;0
оправдывать\slash оправдать;;justifier;justify;0
опрашивать\slash опросить;;interroger;interrogate;0
определять\slash определить;;définir;determine;0
опрокидывать\slash опрокинуть;;renverser;overturn;0
опубликовывать\slash опубликовать;;publier;publish;0
опускать\slash опустить;;baisser;lower;0
опускаться\slash опуститься;;tomber;sink;0
орать;;crier;yell;0
организовывать\slash организовать;;organiser;organize;0
осваивать\slash освоить;;assimiler;master;0
освещать\slash осветить;;éclairer;light (up);0
освобождать\slash освободить;;libérer;set free;0
освобождаться\slash освободиться;;se libérer;become free;0
оскорблять\slash оскорбить;;offenser;offend;0
ослаблять\slash ослабить;;affaiblir;weaken;0
осматривать\slash осмотреть;;visiter;view;0
основывать\slash основать;;fonder;found;0
осуждать\slash осудить;;désapprouver;condemn;0
осуществлять\slash осуществить;;réaliser;realize;0
осуществляться\slash осуществиться;;se réaliser;be carried out;0
отбирать\slash отобрать;;enlever;take away / off / from;0
отвлекать\slash отвлечь;;détourner;divert;0
отделять\slash отделить;;séparer;separate;0
отделяться\slash отделиться;;se séparer;separate;0
отзываться\slash отозваться;;répondre à;respond (to);0
откладывать\slash отложить;;mettre de côté;lay / put / set aside;0
относиться\slash отнестись;;traiter;treat;0
отправляться\slash отправиться;;aller (à);go (to a place);0
отпускать\slash отпустить;;permettre à de s'en aller;let go;0
отражать\slash отразить;;réfléchir;repel;0
отражаться\slash отразиться;;se refléter;be reflected;0
отрезать\slash -;;couper;cut off;0
отрицать;;nier;deny;0
отслеживать\slash отследить;;suivre;backtrace;0
охватывать\slash охватить;;embrasser;seize;0
охотиться;;chasser;hunt;0
охрипнуть;;être enroué;become hoarse;1
оценивать\slash оценить;;évaluer;fix the price (of);0
оцениваться\slash оцениться;;évaluer;fix the price (of);0
ощущать\slash ощутить;;éprouver;feel;0
парализовать;;paralyser;paralyze;0
перебивать\slash перебить;;tuer;re-upholster;0
перевозить\slash перевезти;;transporter;transport;0
переворачивать\slash перевернуть;;tourner;turn over;0
передвигаться\slash передвинуться;;se déplacer;move;0
переделывать\slash переделать;;refaire;make over;0
передумывать\slash передумать;;changer d'avis;change one's mind;0
переживать\slash пережить;;éprouver;experience;0
перемещать\slash переместить;;déplacer;move;0
пересекать\slash пересечь;;passer à travers;cut;0
перечислять\slash перечислить;;énumérer;enumerate;0
печатать\slash на-;;imprimer;print;0
писаться\slash на-;;s'érire;spell;0
планироваться\slash спланировать;;arrêter;plan;0
повторяться\slash повториться;;se répéter;repeat (oneself);0
погибать\slash погибнуть;;périr;perish;1
поглощать\slash поглотить;;engloutir;swallow up;0
погружать\slash погрузить;;charger;immerse (into);0
подбирать\slash подобрать;;relever;pick up;0
подбодрить\slash подбадривать;;encourager;invigorate;0
подвергать\slash подвергнуть;;faire subir à;subject (to);0
подвергаться\slash подвергнуться;;subir;undergo;0
подводить\slash подвести;;amener;lead (to);0
подворачивать\slash подвернуть;;visser;screw a little;0
