verb;usage;transFr;transEn;yellow
отрываться\slash оторваться;;se détacher;come off;0
ощущаться\slash ощутиться;;se ressentir;be felt;0
издеваться;;se moquer de;jeer (at);0
указывать\slash указываться;;indiquer;show;0
просматривать\slash просмотреть;;regarder;look through / over;0
погружаться\slash погрузиться;;charger les marchandises;sink (into);0
жечь\slash с-;;brûler;burn (down, up);0
выдвигать\slash выдвинуть;;avancer;pull out;0
поощрять\slash поощрить;;encourager;encourage;0
намекать\slash намекнуть;;faire allusion à;allude (to);1
распоряжаться\slash распорядиться;;ordonner de;order;0
выть\slash вз-;;hurler;howl;1
выяснить\slash выясняться;;выясниться;turn out;0
спускать\slash спустить;;faire descendre;lower;0
склоняться\slash склониться;;se pencher;incline;0
совать\slash сунуть;;fourrer;poke;0
замирать\slash замереть;;rester immobile;stand motionless;0
дергать\slash дернуть;;tirer par;pull (by);0
прерывать\slash прервать;;interrompre;interrupt;0
вырабатывать\slash выработать;;produire;manufacture;0
облегчать\slash облегчить;;alléger;lighten;0
обнаруживаться\slash обнаружиться;;découvrir;be revealed;0
копать\slash копнуть;;creuser;копнуть;0
реветь;;mugir;roar;1
выкладывать\slash выложить;;étaler;take out;0
выглядывать\slash выглядеть;;regarder (dehors);look out;1
упускать\slash упустить;;lâcher;let go / slip;0
срывать\slash сорвать;;arracher;tear off / down / away;0
посвящать\slash посвятить;;consacrer;devote (to);0
выплачивать\slash выплатить;;payer;pay (out);0
выскакивать\slash выскочить;;sauter;jump out;1
сдыхать\slash сдохнуть;;crever;die;1
обязывать\slash обязать;;obliger;oblige;0
сменяться\slash смениться;;changer;take turns;0
интегрировать;;intégrer;desegregate;0
инвестировать;;investir;invest;0
деваться\slash деться;;disparaître;go;0
рыть;;creuser;dig;0
задевать\slash задеть;;задеть 1;touch;0
пренебрегать\slash пренебречь;;négliger;neglect;0
отбрасывать\slash отбросить;;jeter de côté;throw off / away;0
заимствовать\slash по-;;emprunter;borrow;0
равняться\slash с-;;égaler;complete (with);0
отталкивать\slash оттолкнуть;;repousser;push off / away / aside;0
имитировать;;imiter;ape;0
рушиться;;tomber en ruines;collapse;0
раскладывать\slash разложить;;mettre;put;0
присаживаться\slash присесть;;s’asseoir;sit down;0
недоставать\slash недостать;;manquer;be lack(ing) / want(ing) / missing;0
сеять\slash по-;;semer;sow;0
грузить\slash по-;;charger;load (on);0
примыкать\slash примкнуть;;adhérer;join;1
прогуливаться\slash прогуляться;;se promener;take / go for a walk / stroll;0
мобилизовать;;mobiliser;mobilize;0
исповедовать;;confesser;confess;0
оберегать\slash оберечь;кого;garder,veiller sur;guard, take care;0
продвигать\slash продвинуть;;faire avancer;move / push ahead / on / forward / further;0
затруднять\slash затруднить;;embarrasser;embarrass;0
затягивать\slash затянуть;;serrer;tighten;0
совершенствовать\slash у-;;perfectionner;perfect;0
заносить\slash занести;;apporter;bring;0
проваливаться\slash провалиться;;tomber;break / fall in / through;0
отрабатывать\slash отработать;;отработать 1;work off;0
высылать\slash выслать;;envoyer;send;0
овладевать\slash овладеть;;s'emparer;seize;1
вдохновлять\slash вдохновить;;inspirer;inspire;0
сменять\slash сменить;;(échanger troquer) contre;change;0
материться\slash материть;;jurer;use foul language;0
пробивать\slash пробить;;percer;break through;0
оспаривать\slash оспорить;;contester;contest;0
прерываться\slash прерваться;;s'interrompre;be interrupted;0
внедрять\slash внедрить;;faire pénétrer;inculcate (in, upon);0
натыкаться\slash наткнуться;;se heurter contre;run (against);0
грешить\slash со-;;pécher;sin;1
спотыкаться\slash споткнуться;;trébucher (contre, hésiter);stumble (over / against);0
провозглашать\slash провозгласить;;proclamer;proclaim;0
пропагандировать;;faire de la propagande;propagandize;0
вырывать\slash вырвать;;arracher;pull out;0
затягиваться\slash затянуться;;se serrer;be tightened;0
улавливать\slash уловить;;saisir;catch;0
лишаться\slash лишиться;;perdre;lose;0
усмехаться\slash усмехнуться;;sourire malicieusement;grin;0
пилить;;scier;saw;0
прорываться\slash прорваться;;se déchirer;burst open;0
пытать;;mettre à la torture;torture;0
отыскивать\slash отыскать;;trouver;find;0
горевать;;s'affliger;grieve (for);1
обобщать\slash обобщить;;généraliser;generalize;0
крестить\slash о-;;baptiser;baptize;0
подхватывать\slash подхватить;;attraper;catch (up);0
приучать\slash приучить;;accoutumer;accustom (to);0
утрачивать\slash утратить;;perdre;lose;0
топтать;;fouler;trample down;0
целиться\slash на-;;viser;aim (at);0
откликаться\slash откликнуться;;répondre à;respond (to);0
приватизировать;;privatiser;privatize;0
противопоставлять\slash противопоставить;;opposer;oppose (to);0
забрасывать\slash забросать;;couvrir;bespatter (with);0
разбрасывать\slash разбросать;;disperser;scatter;0
засовывать\slash засунуть;;fourrer;put (into);0
отображать\slash отобразить;;refléter;reflect;0
втягивать\slash втянуть;;tirer;draw (in, into);0
наезжать\slash наехать;;donner;run (into, over);1
налаживать\slash наладить;;régler;put right;0
обрушиваться\slash обрушиться;;s’ébouler;fall in;0
осмеливаться\slash осмелиться;;oser;dare;0
сваливать\slash свалить;;renverser;knock down / over;1
распахивать\slash распахать;;labourer;plow up;0
подслушивать\slash подслушать;;écouter (aux portes);eavesdrop (on);0
дымить\slash на-;;fumer;smoke;0
перехватывать\slash перехватить;;saisir;intercept;0
вторгаться\slash вторгнуться;;envahir;invade;0
распускать\slash распустить;;donner congé (à, congédier);dismiss;0
избавлять\slash избавить;;délivrer;save (from);0
доживать\slash дожить;;atteindre l'âge de;live so long;0
обусловливать\slash обусловить;;conditionner;condition (on);0
комбинировать\slash с-;;combiner;combine;0
сливать\slash слить;;verser;pour off;0
сосуществовать;;coexister;co-exist;1
концентрировать\slash с-;;concentrer;concentrate;0
мять\slash из-;;écraser;rumple;0
согласовывать\slash согласовать;;régler;co-ordinate;0
санкционировать;;sanctionner;sanction;0
созревать\slash созреть;;mûrir;ripen;1
возбуждаться\slash возбудиться;;s'exciter;become excited;0
женить\slash жениться;;marier;marry off smb.;0
дискутировать;;discuter;discuss;0
растрогать;;toucher;move;0
поститься;;jeûner;fast;0
