verb;usage;transFr;transEn;yellow
встречать\slash встретить;;rencontrer;meet;0
продавать\slash продать;;vendre;sell;0
вставать\slash встать;;se lever;stand up;1
мечтать;;rêver à;dream (of);0
приезжать\slash приехать;;arriver;arrive;1
отдавать\slash отдать;;rendre;give back;0
висеть;;pendre;hang;1
поднимать\slash поднять;;lever;lift;0
представляться\slash представиться;;se présenter;occur;0
бросать\slash бросить;;jeter;throw;0
летать;;voler;fly;1
подождать;;attendre;wait (for);1
курить\slash покурить;;fumer;smoke;0
дышать\slash подышать;;respirer;breathe;0
тянуть\slash потянуть;;tirer;pull;0
случаться\slash случиться;;случиться I;happen;0
останавливаться\slash остановиться;;s'arrêter;stop;0
посылать\slash послать;;envoyer;send;0
ненавидеть\slash возненавидеть;;haïr;hate;0
приближаться\slash приблизиться;;s'approcher de;draw / come near;0
кормить\slash накормить;;nourrir;feed;0
жениться;;se marier avec;get married (to);0
проверять\slash проверить;;vérifier;examine;0
учить\slash научить;;apprendre à;teach;0
тратить\slash истратить;;dépenser;spend;0
уважать;;respecter;respect;0
пробовать\slash попробовать;;essayer;try;0
открываться\slash открыться;;s'ouvrir;open;0
советовать\slash посоветовать;;conseiller;advise;1
доходить\slash дойти;;marcher jusqu’à;walk as far as;1
благодарить\slash поблагодарить;;remercier;thank;0
узнавать\slash узнать;;reconnaître;know (again);0
торопиться\slash поторопиться;;être pressé;hurry;0
ложиться\slash лечь;;se coucher;lie (down);0
целовать\slash поцеловать;;embrasser (à, sur);kiss;0
испугаться\slash пугаться;;s'effrayer;be frightened (of);0
течь;;couler;flow;1
ломать\slash сломать;;casser;break;0
плыть;;flotter;swim;1
прыгать\slash попрыгать;;sauter;jump;1
рисовать\slash нарисовать;;dessiner;draw;0
водить\slash повести;;conduire;lead;0
записывать\slash записать;;noter;write down;0
лечить\slash полечить;;soigner;treat (medically);0
отправлять\slash отправить;;envoyer;send;0
шутить\slash пошутить;;plaisanter;joke;1
увеличиваться\slash увеличиться;;s'agrandir;increase;0
просыпаться\slash просыпаться;;se répandre;spill;0
