verb;usage;transFr;transEn;yellow
учиться\slash вы-;;apprendre;learn;not movement
фотографировать\slash с-;;photographier;photograph;not movement
хвалить\slash по-;;louer de;compliment (for);not movement
хватать\slash хватить;;saisir;snatch;not movement
ходить\slash пойти;;marcher;go;movement
хотеть\slash за-;;vouloir;want;not movement
хотеться\slash за-;;avoir envie de;want;not movement
хранить;;garder;keep;not movement
храниться\slash хранить;;se trouver;be kept;not movement
целовать\slash по-;;embrasser (à, sur);kiss;not movement
целоваться\slash по-;;s'embrasser;kiss;not movement
чинить\slash по-;;réparer;repair;not movement
чистить\slash по-;;nettoyer;clean;not movement
читать\slash прочесть;;lire;read;not movement
читаться\slash прочесть;;se lire;read;not movement
чувствовать\slash пере-;;sentir;feel;not movement
шагать\slash шагнуть;;marcher;step;not movement
шить\slash с-;;coudre;sew;not movement
шуметь;;faire du bruit;make a noise;movement
шутить\slash по-;;plaisanter;joke;movement
экономить\slash с-;;économiser;economize;not movement
являться\slash явиться;;se présenter;appear;not movement
