verb,transFR
отражаться\slash отразиться,se refléter
регулировать,régler
раскрывать\slash раскрыть,ouvrir
издавать\slash издать,éditer
ограничивать\slash ограничить,restreindre
заключать\slash заключить,emprisonner
колебаться\slash по-,être ébranlé
обожать,adorer
опускаться\slash опуститься,tomber
сгорать\slash сгореть,être brûlé
качать\slash качнуть,balancer
обнимать\slash обнять,serrer dans ses b
освещать\slash осветить,éclairer
удовлетворять\slash удовлетворить,satisfaire
сдерживать\slash сдержать,retenir
писаться\slash на-,s'érire
стимулировать,stimuler
опускать\slash опустить,baisser
нападать\slash напасть,напасть I
относиться\slash отнестись,traiter
сжимать\slash сжать,сжать I
превосходить\slash превзойти,surpasser
протягивать\slash протянуть,tendre
беречь,garder
игнорировать,ignorer
снижать\slash снизить,abaisser
рвать\slash рваться,arracher
обслуживать\slash обслужить,desservir
бормотать\slash про-,marmotter
функционировать,fonctionner
вмешиваться\slash вмешаться,se mêler de
ползти\slash по-,ramper
разрушать\slash разрушить,détruire
сотрудничать,collaborer
крутиться\slash по-,tourner
подбирать\slash подобрать,relever
дуть\slash по-,souffler
мучиться\slash по-,se tourmenter au 
выдерживать\slash выдержать,soutenir
умолять\slash умолить,implorer
путать,embrouiller
разбирать\slash разобрать,prendre
заводить\slash завести,amener
наполнять\slash наполнить,remplir
кушать\slash по-,manger
осуждать\slash осудить,désapprouver
ликвидировать,liquider
нарастать\slash нарасти,croître
вздыхать\slash вздохнуть,respirer
критиковать,critiquer
анализировать\slash про-,analyser
оборачиваться\slash обернуться,se retourner
внушать\slash внушить,inspirer
оправдывать\slash оправдать,justifier
удаляться\slash удалиться,s'éloigner
расставаться\slash расстаться,se séparer (de)
вращаться\slash вращать,tourner
восстанавливать\slash восстановить,rétablir
восхищаться\slash восхититься,admirer
скользить\slash скользнуть,glisser
воображать\slash вообразить,imaginer
сажать\slash посадить,planter
совершаться\slash совершиться,s'accomplir
отделять\slash отделить,séparer
предпринимать\slash предпринять,entreprendre
распространять\slash распространить,diffuser
намереваться\slash намериться,avoir l'intention
продвигаться\slash продвинуться,progresser
нервничать,être nerveux
снижаться\slash снизиться,baisser
хлопать\slash по-,claquer
осматривать\slash осмотреть,visiter
вытаскивать\slash вытащить,retirer
включаться\slash включиться,se joindre à
преодолевать\slash преодолеть,surmonter
сообщаться\slash сообщиться,se communiquer
хохотать\slash за-,rire (aux éclats)
организовывать\slash организовать,organiser
конкурировать,rivaliser (avec
добывать\slash добыть,obtenir
смущать\slash смутить,troubler
поставлять\slash поставить,поставить II
впадать\slash впасть,se creuser
стрелять\slash выстрелить,faire feu
доводить\slash довести,conduire jusqu'à
излагать\slash изложить,exposer
трястись\slash тряхнуть,trembler (de
сбегать\slash сбежать,courir
возбуждать\slash возбудить,exciter
обижать\slash обидеть,vexer
катиться\slash по-,rouler
растеряться,se perdre
сочинять\slash сочинить,écrire
подвергать\slash подвергнуть,faire subir à
слушаться\slash по-,obéir à
лечиться\slash по-,suivre un traitem
предвидеть,prévoir
прижимать\slash прижать,serrer contre
рыдать,sangloter
выяснять\slash выяснить,éclaircir
трясти\slash тряхнуть,secouer
запускать\slash запустить,jeter
компенсировать,compenser
оцениваться\slash оцениться,évaluer
воздействовать,influencer
задыхаться\slash задохнуться,étouffer
цвести,fleurir
завершать\slash завершить,achever
охотиться,chasser
взволноваться\slash взволновать,agiter
освобождать\slash освободить,libérer
гудеть\slash про-,bourdonner
базироваться\slash базировать,se fonder sur
выбираться\slash выбраться,sortir
приказывать\slash приказать,ordonner
откладывать\slash отложить,mettre de côté
лгать\slash со-,mentir
расширять\slash расширить,élargir
гибнуть\slash по-,périr
таять\slash рас-,fondre
передвигаться\slash передвинуться,se déplacer
рассыпаться\slash -,se répandre
погибать\slash погибнуть,périr
рубить\slash на-,abattre
тонуть\slash у-,se noyer
отвлекать\slash отвлечь,détourner
адресовать,adresser
жрать\slash со-,dévorer
литься\slash лить,couler
поглощать\slash поглотить,engloutir
пересекать\slash пересечь,passer à travers
расспрашивать\slash расспросить,questionner sur
сочетаться,s'unir
наказывать\slash наказать,punir
воспроизводить\slash воспроизвести,reproduire
привязывать\slash привязать,attacher
отзываться\slash отозваться,répondre à
приступать\slash приступить,se mettre à
задерживаться\slash задержаться,être retenu
сожалеть,regretter
вытирать\slash вытереть,essuyer
разворачиваться\slash развернуться,se déployer
казнить,exécuter
присоединяться\slash присоединиться,se joindre à
взаимодействовать,coopérer
устраиваться\slash устроиться,s'installer
тонуть\slash у-,se noyer
осваивать\slash освоить,assimiler
вставлять\slash вставить,mettre
помещать\slash поместить,mettre
укреплять\slash укрепить,affermir
доминировать,prédominer
обмениваться\slash обменяться,échanger
отбирать\slash отобрать,enlever
оскорблять\slash оскорбить,offenser
стартовать,prendre le départ
финансировать,financer
дополнять\slash дополнить,compléter
причинять\slash причинить,causer
стонать\slash про-,gémir
заливать\slash залить,inonder
перечислять\slash перечислить,énumérer
пояснять\slash пояснить,expliquer
протестовать\slash за-,protester
извлекать\slash извлечь,tirer
блокировать,bloquer
содействовать\slash по-,aider à
потреблять\slash потребить,consommer
заведовать,administrer
оперировать,opérer
сбивать\slash сбить,abattre
сосать,sucer
иллюстрировать\slash про-,illustrer
прилагать\slash приложить,joindre
подражать,imiter
удалять\slash удалить,éloigner
вспыхивать\slash вспыхнуть,jaillir
специализироваться,se spécialiser
забивать\slash забить,enfoncer
исполняться\slash исполниться,s'accomplir
информировать\slash про-,informer
пролетать\slash пролететь,survoler
грабить\slash о-,piller
ссориться\slash по-,se quereller
разыскивать\slash разыскать,chercher
показываться\slash показаться,se montrer
уточнять\slash уточнить,préciser
хоронить\slash с-,enterrer
утешать\slash утешить,consoler
укладывать\slash уложить,mettre
передумывать\slash передумать,changer d'avis
глотать,avaler
краснеть\slash по-,rougir
одобрять\slash одобрить,approuver
перебивать\slash перебить,tuer
